algorithm,policy,featexp,value,time,s,n
algorithm5,0.368889,0.097974,0.952302,0.022536,70,15
gpirl,0.417778,0.115104,0.950382,7.005882,10,15
gpirl,0.284444,0.026847,0.985157,8.864042,30,15
gpirl,0.226667,0.02848,0.989673,13.877344,50,15
gpirl,0.182222,0.033626,0.989717,15.886949,70,15
an,0.693333,0.420483,0.35502,0.027984,10,15
an,0.635556,0.456938,0.137653,0.028646,30,15
an,0.622222,0.470129,0.125955,0.035992,50,15
an,0.648889,0.470821,0.119036,0.029362,70,15
algorithm5,0.52,0.290999,0.82314,0.021118,10,15
algorithm5,0.64,0.305529,0.721444,0.021661,30,15
algorithm5,0.622222,0.273839,0.776454,0.022226,50,15
algorithm5,0.48,0.215636,0.855284,0.023306,70,15
gpirl,0.52,0.28054,0.830895,8.375893,10,15
gpirl,0.266667,0.087046,0.976632,11.188878,30,15
gpirl,0.186667,0.037271,0.992126,19.205999,50,15
gpirl,0.208889,0.035348,0.993242,25.727638,70,15
an,0.546667,0.449865,0.183904,0.027843,10,15
an,0.431111,0.322112,0.784351,0.028717,30,15
an,0.453333,0.321333,0.787465,0.029326,50,15
an,0.493333,0.429125,0.541583,0.028797,70,15
algorithm5,0.377778,0.14886,0.917155,0.020971,10,15
algorithm5,0.457778,0.221602,0.878493,0.021522,30,15
algorithm5,0.417778,0.169687,0.911277,0.02272,50,15
algorithm5,0.382222,0.169686,0.914121,0.02275,70,15
gpirl,0.355556,0.061728,0.974412,6.719328,10,15
gpirl,0.271111,0.043793,0.983438,9.87418,30,15
gpirl,0.24,0.02891,0.986828,14.256563,50,15
gpirl,0.2,0.02278,0.988896,16.546523,70,15
an,0.626667,0.379763,0.426337,0.029367,10,15
an,0.64,0.556915,0.123861,0.029392,30,15
an,0.586667,0.462875,0.668118,0.029239,50,15
an,0.568889,0.462631,0.687732,0.029662,70,15
algorithm5,0.457778,0.228115,0.899625,0.021404,10,15
algorithm5,0.457778,0.25282,0.890792,0.021253,30,15
algorithm5,0.368889,0.111107,0.954441,0.021951,50,15
algorithm5,0.324444,0.115089,0.958433,0.022211,70,15
gpirl,0.426667,0.104996,0.949122,6.639154,10,15
gpirl,0.302222,0.061198,0.981601,12.430909,30,15
gpirl,0.257778,0.06098,0.985084,16.200582,50,15
gpirl,0.231111,0.060417,0.98681,21.057351,70,15
