algorithm,reward,iteration,value,time
algorithm_13k,6,7,9.950811,1.741188
algorithm_13k,6,8,9.988006,2.052579
algorithm_13k,6,9,9.950800,2.368796
algorithm_13k,6,10,9.963487,2.749741
algorithm_13k,6,11,9.941227,3.157805
algorithm_13k,6,12,9.983233,3.497905
algorithm_13k,6,13,10.002056,3.830145
algorithm_13k,6,14,9.956044,4.172501
algorithm_13k,6,15,9.953816,4.516854
algorithm_13k,6,16,9.954310,4.860081
algorithm_13k,6,17,9.984735,5.233559
algorithm_13k,6,18,9.950509,5.652160
algorithm_13k,6,19,9.956502,6.040589
algorithm_13k,6,20,9.989169,6.419053
algorithm_13k,6,21,9.917488,6.840904
algorithm_13k,6,22,9.936869,7.224695
algorithm_13k,6,23,9.978954,7.646719
algorithm_13k,6,24,9.928540,8.056754
algorithm_13k,6,25,9.988894,8.508090
algorithm_13k,6,26,9.944466,8.946466
algorithm_13k,6,27,9.936072,9.472718
algorithm_13k,6,28,9.965140,9.976688
algorithm_13k,6,29,9.963398,10.529046
algorithm_13k,6,30,9.963172,10.995005
algorithm_13k,6,31,9.943303,11.459361
algorithm_lsp,6,1,0.000000,0.000000
algorithm_lsp,6,2,6.806117,0.657968
algorithm_lsp,6,3,6.802140,1.052268
algorithm_lsp,6,4,6.522082,1.445566
algorithm_lsp,6,5,8.755894,1.837667
algorithm_lsp,6,6,8.489613,2.238177
algorithm_lsp,6,7,8.657858,2.635274
algorithm_lsp,6,8,8.969196,3.040192
algorithm_lsp,6,9,9.207869,3.434700
algorithm_lsp,6,10,9.102321,3.830525
algorithm_lsp,6,11,8.211556,4.227604
algorithm_lsp,6,12,8.206670,4.623379
algorithm_lsp,6,13,8.213058,5.026863
algorithm_lsp,6,14,8.057350,5.433633
algorithm_lsp,6,15,7.987632,5.829467
algorithm_lsp,6,16,7.939863,6.238072
algorithm_lsp,6,17,8.348675,6.629936
algorithm_lsp,6,18,8.276986,7.038703
algorithm_lsp,6,19,8.072944,7.438681
algorithm_lsp,6,20,8.902261,7.839291
algorithm_lsp,6,21,8.776286,8.235741
algorithm_lsp,6,22,8.891009,8.632289
algorithm_lsp,6,23,8.701696,9.035562
algorithm_lsp,6,24,8.736648,9.434825
