algorithm,reward,iteration,value,time
algorithm_13kx,2,47,-14.897592,20.376221
algorithm_13kx,2,48,-14.581256,21.157606
algorithm_13kx,2,49,-15.029420,21.881024
algorithm_13kx,2,50,-18.358378,22.583285
algorithm_13kx,2,51,-16.839454,23.299992
algorithm_13kx,2,52,-18.028572,24.032571
algorithm_13kx,2,53,-18.080786,24.771292
algorithm_13kx,2,54,-13.159463,25.502061
algorithm_13kx,2,55,-13.284458,26.253877
algorithm_13kx,2,56,-15.871486,27.016885
algorithm_13kx,2,57,-16.009395,27.803692
algorithm_13kx,2,58,-18.278600,28.565090
algorithm_13kx,2,59,-17.837832,29.354021
algorithm_13kx,2,60,-17.932591,30.142815
algorithm_13kx,2,61,-17.838793,30.956912
algorithm_13kx,2,62,-13.239164,31.813005
algorithm_13kx,2,63,-17.955301,32.659754
algorithm_13kx,2,64,-13.750355,33.585091
algorithm_13kx,2,65,-18.131869,34.426763
algorithm_13kx,2,66,-15.933921,35.245306
algorithm_13kx,2,67,-17.809146,36.092686
algorithm_13kx,2,68,-17.454495,36.955275
algorithm_13kx,2,69,-13.134904,37.839767
algorithm_13kx,2,70,-13.211298,38.707393
algorithm_13kx,2,71,-12.888198,39.709474
algorithm_13kx,2,72,-13.023399,40.666598
algorithm_13kx,2,73,-12.648117,41.594404
algorithm_13kx,2,74,-13.562126,42.488060
algorithm_13kx,2,75,-14.899858,43.400054
algorithm_13kx,2,76,-12.790020,44.301326
algorithm_13kx,2,77,-13.554351,45.213974
algorithm_13kx,2,78,-13.098933,46.454915
algorithm_13kx,2,79,-13.277711,47.371914
algorithm_13kx,2,80,-13.584054,48.291171
algorithm_13kx,2,81,-13.107767,49.267554
algorithm_13kx,2,82,-13.695358,50.221359
algorithm_13kx,2,83,-13.723156,51.194172
algorithm_13kx,2,84,-13.876577,52.164324
algorithm_13kx,2,85,-13.131208,53.124123
algorithm_13kx,2,86,-13.537816,54.084808
algorithm_13kx,2,87,-13.278392,55.148598
algorithm_13kx,2,88,-12.770438,56.172037
algorithm_13kx,2,89,-12.958441,57.184764
algorithm_13kx,2,90,-12.857555,58.194363
algorithm_13kx,2,91,-13.184398,59.202746
algorithm_13kx,2,92,-12.956565,60.296955
algorithm_13kx,2,93,-13.021973,61.350467
algorithm_13kx,2,94,-12.892805,62.370674
algorithm_13kx,2,95,-12.901154,63.403771
algorithm_13kx,2,96,-13.020493,64.438237
algorithm_13kx,2,97,-12.846701,65.493819
algorithm_13kx,2,98,-13.001404,66.556920
